clinicalSignID,clinicalSignName,alternativeName,clinicalSignDescription,clinicalSignReference
0,abdominal distention,swollen belly,"Bloat (swollen belly) is a condition in which food or gas stretches your dog's stomach, causing abdominal pain.",https://www.petmd.com/dog/conditions/digestive/signs-and-symptoms-bloat-dogs
1,abdominal pain,colic,Colic refers to abdominal pain or discomfort caused by too much gas in the abdomen.,https://www.nativeremedies.com/petalive/pet-ailment/cats-dogs-colic-info
2,abnormal behavior,"aggression, changing habits, agitation, altered mentation","Aggression is hostile, injurious, or destructive behavior toward an individual, whether human or another animal.",https://www.akc.org/expert-advice/training/reactivity-vs-aggression/
3,abnormal nail growth,ram's horn nails,Deformity of the nail or claw caused by abnormal growth ,https://tricountyah.com/pet-health/nail-nailbed-disorders/
4,alopecia,"baldness, bald patches",Alopecia refers to either thinning hair or spots of hair loss (bald spots). Where the hair loss occurs can depend on the underlying cause.,https://www.petmd.com/dog/conditions/skin/c_dg_alopecia
5,anal irritation,,"Clinical signs are related to discomfort associated with sitting or defecating. Scooting, licking, biting at the anal area, and painful defecation (dyschezia) with tenesmus may be noted.",https://www.msdvetmanual.com/digestive-system/diseases-of-the-rectum-and-anus/anal-sac-disease-in-dogs-and-cats
6,anal itching,,"Rectal itching in dogs is simply an itch in the anal area and is often noticed by pet parents when a dog licks or bites at the area, or scoots their behind across floors, grass or even pavement. ",https://wagwalking.com/condition/rectal-itching
7,anisocoria,unequal pupil sizes,"Anisocoria (unequal pupil sizes) is a condition in which the pupils of the dog's eyes are different sizes; in other words, one pupil is larger than the other.","https://vcahospitals.com/know-your-pet/anisocoria-in-dogs#:~:text=Anisocoria%20is%20a%20condition%20in,the%20one%20that%20is%20larger."
8,anorexia,"loss of appetite, lack of appetite, decrased appetite, poor appetite",Anorexia is a decrease or loss of appetite for food.,"https://vcahospitals.com/know-your-pet/anorexia-in-dogs#:~:text=Anorexia%20is%20a%20decrease%20or,and%20should%20be%20taken%20seriously.%22"
9,anuria,"no urine, small amount of urine",Anuria is a decreased amount of urine being produced and excreted. ,https://www.petmd.com/dog/conditions/urinary/c_multi_oliguria_anuria
10,appetite fluctuations,,"Loss of appetite in dogs can indicate illness, it is important to seek veterinary care if you notice changes in your dog’s eating habits. It is especially important to respond promptly to a refusal to eat in dogs that usually eat well.",https://pets.webmd.com/dogs/guide/dog-not-eating-possible-causes-and-appetite-solutions
12,ascites,"fluid abdomen, accumulation of fluid in the abdominal cavity","Ascites, also known as an abdominal effusion or free abdominal fluid, is a serious, possibly life-threatening medical condition in which a dog's abdomen fills up with fluid. ",https://www.petmd.com/dog/conditions/cardiovascular/ascites-dogs
13,ataxia,"incoordination, straggering, falling, difficulty walking","Ataxia means incoordination within the nervous system. The abnormal movement can occur in the legs, the head, the torso, or all three.","https://vcahospitals.com/know-your-pet/ataxia-in-dogs#:~:text=What%20is%20that%3F,nervous%20system%20the%20abnormality%20occurs."
14,blindness,,"Blindness is a condition of being unable to see due to an injury, disease, or a congenital condition or general aging changes.",https://www.dutch.com/blogs/dogs/dog-is-blind
15,bradypnea,"decrased respiratory rate, slow breathing rate","Respiratory distress, often called dyspnea, is labored, difficult breathing or shortness of breath that can occur at any time during the breathing process, during inspiration (breathing in) or expiration (breathing out). ",https://www.petplace.com/article/dogs/pet-health/dyspnea-trouble-breathing-in-dogs/
16,bunny hopping gait,,“Bunny hopping” refers to the abnormal change in gait sometimes exhibited by a dog with hip dysplasia. It is so named because dogs are seen lifting both hind legs simultaneously like a jumping rabbit.,https://midogguide.com/maintenance-and-care/what-does-it-look-like-when-a-dog-bunny-hops.html
17,change or loss of voice,,"Coughing, especially after exercise or exertion, is probably the most frequently reported sign, followed by noisy breathing, exercise intolerance, excessive panting, and a change in the sound of the bark (dysphonia).",https://vcahospitals.com/know-your-pet/laryngeal-paralysis-in-dogs
18,chewing,,"Dogs that are in a state of conflict, arousal, or anxiety, such as separation anxiety, may turn to chewing and other forms of destructiveness as an outlet.",https://vcahospitals.com/know-your-pet/dogs-and-destructive-chewing
19,chorioretinitis,inflammation of the choroid and retina of the eye,Chorioretinitis is an inflammatory or infectious disease of the choroid and retina.,http://www.vetbook.org/cgi-sys/suspendedpage.cgi
20,circling,,"Pacing and circling in dogs can be activities in which dogs engage in order to perform some normal activities like urinating, defecating, sniffing and investigating, or they can be compulsive behaviors which are not normal. They may also be indicative of underlying pain or a neurological disease or canine dementia.",https://wagwalking.com/condition/pacing-and-circling
